key_id,press_time,release_time
Key.backspace,1788966888.6468751,1788966888.7436075
Key.backspace,1788966888.9280019,1788966889.0248623
u,1788966889.1307309,1788966889.207597
s,1788966889.1807947,1788966889.2991965
e,1788966889.2714794,1788966889.4104888
Key.space,1788966889.3936112,1788966889.5268075
w,1788966889.681049,1788966889.8174253
e,1788966889.7751844,1788966889.9237375
Key.space,1788966889.911524,1788966890.056806
d,1788966890.1135345,1788966890.2251205
o,1788966890.252117,1788966890.3334835
n,1788966890.452218,1788966890.5366488
t,1788966890.5091124,1788966890.642331
Key.space,1788966890.630238,1788966890.7410004
w,1788966890.7018743,1788966890.852928
n,1788966890.8267372,1788966890.9087825
a,1788966890.7876327,1788966890.9288568
t,1788966890.9502797,1788966891.0872107
h,1788966891.1648016,1788966891.2226005
Key.space,1788966891.0487876,1788966891.2678907
t,1788966891.2531323,1788966891.2688901
Key.backspace,1788966891.631363,1788966891.6752164
Key.backspace,1788966891.7563934,1788966891.8276362
t,1788966891.799087,1788966891.9104695
h,1788966891.958784,1788966892.0358286
e,1788966892.0227234,1788966892.1627014
Key.space,1788966892.1468923,1788966892.2587264
t,1788966892.3978205,1788966892.4495957
r,1788966892.3968039,1788966892.4720166
Key.backspace,1788966892.8287277,1788966892.9062333
Key.backspace,1788966892.9834647,1788966893.0861614
r,1788966893.0980058,1788966893.2029753
Key.backspace,1788966893.4836898,1788966893.5661347
o,1788966893.6796644,1788966893.7722814
u,1788966893.8889575,1788966893.9642968
t,1788966893.999892,1788966894.1043274
p,1788966894.1375241,1788966894.2051215
u,1788966894.3306122,1788966894.3958008
t,1788966894.4066076,1788966894.4961772
Key.space,1788966894.5549765,1788966894.677247
o,1788966894.7734275,1788966894.83338
f,1788966894.8308759,1788966894.9501865
Key.space,1788966894.9439764,1788966895.0768955
t,1788966895.042549,1788966895.1628006
h,1788966895.1359615,1788966895.2160482
e,1788966895.2770395,1788966895.3974233
Key.space,1788966895.3689725,1788966895.5028179
t,1788966895.509688,1788966895.5761695
r,1788966895.5059967,1788966895.6007035
e,1788966895.693536,1788966895.7592318
Key.backspace,1788966895.989336,1788966896.0457795
Key.backspace,1788966896.1202993,1788966896.1976438
Key.backspace,1788966896.481058,1788966896.540846
Key.backspace,1788966896.6324475,1788966896.697222
Key.backspace,1788966896.7754383,1788966896.8810782
Key.backspace,1788966896.926198,1788966897.0031557
Key.backspace,1788966897.0762084,1788966897.1486988
Key.backspace,1788966897.2169857,1788966897.2907405
Key.backspace,1788966897.345891,1788966897.4255984
Key.backspace,1788966897.491849,1788966897.575096
o,1788966897.6900957,1788966897.8059247
r,1788966897.779028,1788966897.9047644
Key.space,1788966897.9094615,1788966898.057289
t,1788966898.0347717,1788966898.1662354
h,1788966898.1572483,1788966898.2420137
e,1788966898.268019,1788966898.3814447
Key.space,1788966898.3602,1788966898.4788208
r,1788966898.5145605,1788966898.6172197
e,1788966898.6978424,1788966898.7988737
u,1788966898.8686342,1788966898.941027
t,1788966898.906525,1788966899.03075
r,1788966899.1918266,1788966899.317909
n,1788966899.3411884,1788966899.421334
Key.space,1788966899.4339151,1788966899.5545478
Key.backspace,1788966899.8223734,1788966899.889201
Key.backspace,1788966899.9719985,1788966900.0433698
Key.backspace,1788966900.1312292,1788966900.1946838
Key.backspace,1788966900.2925966,1788966900.344842
Key.backspace,1788966900.4340253,1788966900.5033152
t,1788966900.5088325,1788966900.6092503
u,1788966900.6356158,1788966900.707412
r,1788966900.710472,1788966900.8455472
b,1788966900.8327138,1788966900.9173946
Key.space,1788966900.9087296,1788966901.0665603
Key.backspace,1788966901.246096,1788966901.303529
Key.backspace,1788966901.3838065,1788966901.4419265
n,1788966901.5527637,1788966901.6190867
Key.space,1788966901.6073751,1788966901.7457583
v,1788966901.697103,1788966901.8227446
a,1788966901.812138,1788966901.9520307
l,1788966901.8959262,1788966901.9710882
u,1788966902.1669443,1788966902.261642
e,1788966902.2988768,1788966902.431167
Key.space,1788966902.3921013,1788966902.525992
o,1788966902.9612257,1788966903.0472844
f,1788966903.0412195,1788966903.135862
Key.space,1788966903.1194205,1788966903.2688315
t,1788966903.2249343,1788966903.3290799
h,1788966903.3178914,1788966903.3933918
e,1788966903.441658,1788966903.5755146
Key.space,1788966903.5244179,1788966903.6449418
f,1788966903.8518016,1788966903.9906063
u,1788966903.954248,1788966904.0275059
n,1788966904.1236196,1788966904.210323
c,1788966904.1375918,1788966904.2397788
t,1788966904.3333323,1788966904.4418273
i,1788966904.4111629,1788966904.4645164
o,1788966904.544918,1788966904.637067
n,1788966904.6411743,1788966904.7680788
Key.enter,1788966904.9377706,1788966905.031165
Key.shift,1788966905.205453,1788966905.770117
Key.space,1788966905.7906897,1788966905.9491496
i,1788966905.9388945,1788966906.0167344
n,1788966906.1136482,1788966906.173996
s,1788966906.31472,1788966906.4255283
t,1788966906.5064611,1788966906.6228118
e,1788966906.834928,1788966906.93717
a,1788966906.9049075,1788966907.0406215
d,1788966907.0339437,1788966907.1788468
Key.space,1788966907.184155,1788966907.3150208
w,1788966907.3813164,1788966907.5052845
e,1788966907.4717846,1788966907.617603
Key.space,1788966907.5672581,1788966907.731277
w,1788966908.415704,1788966908.5530648
